Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/random-failure,862,261,50,52.04091649874248,2.9409579874482006,68.41095800336916,62.58584686774942,95.21759955810273,28.83038687316104,50,51,58,59,60,60,60,68,68,68,68
,Aggregated,862,261,50,52.04091649874248,2.9409579874482006,68.41095800336916,62.58584686774942,95.21759955810273,28.83038687316104,50,51,58,59,60,60,60,68,68,68,68
